date,NVDA,AMD,INTC,MU,NBIS,GOOGL,RKLB,JOBY,ACHR,TSLA,COIN,HOOD,IBIT,IREN,CLSK,IONQ,RGTI,QBTS,SMR,SERV
10/16/2015 4:00,0.6965,1.94,33.04,18.5,20,34.766,10.43,13.4,9.48,15.134,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,33.76
10/19/2015 4:00,0.6953,2.01,33.59,19.16,20,34.9975,10.43,13.4,9.48,15.2067,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,33.86
10/20/2015 4:00,0.6943,2.02,33.44,17.09,20,34,10.43,13.4,9.48,14.202,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,33.95
10/21/2015 4:00,0.6853,2.1,33.37,16.43,20,33.59,10.43,13.4,9.48,14.006,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,33.28
10/22/2015 4:00,0.71,2.14,34.4,16.72,20,34.057,10.43,13.4,9.48,14.1147,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,33.03
10/23/2015 4:00,0.7148,2.21,34.9,17.24,20,35.9665,10.43,13.4,9.48,13.9393,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.05
10/26/2015 4:00,0.7115,2.15,34.59,16.58,20,36.556,10.43,13.4,9.48,14.3507,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.2
10/27/2015 4:00,0.711,2.15,34.47,16.68,20,36.641,10.43,13.4,9.48,14.0233,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.74
10/28/2015 4:00,0.7168,2.18,34.71,16.92,20,36.846,10.43,13.4,9.48,14.1973,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,35.39
10/29/2015 4:00,0.692,2.13,34.03,16.21,20,37.2425,10.43,13.4,9.48,14.1087,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.84
10/30/2015 4:00,0.7093,2.12,33.86,16.56,20,36.8695,10.43,13.4,9.48,13.7953,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,35.65
11/2/2015 5:00,0.7175,2.19,34.11,17.09,20,37.387,10.43,13.4,9.48,14.2527,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,35.83
11/3/2015 5:00,0.7125,2.28,34.31,17.835,20,37.441,10.43,13.4,9.48,13.89,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.5
11/4/2015 5:00,0.7008,2.2,34.15,17.44,20,37.7655,10.43,13.4,9.48,15.442,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.25
11/5/2015 5:00,0.6928,2.2,34,16.51,20,38.0335,10.43,13.4,9.48,15.4513,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.6
11/6/2015 5:00,0.7887,2.15,33.84,16.45,20,38.08,10.43,13.4,9.48,15.4907,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.48
11/9/2015 5:00,0.7853,2.11,33.35,15.84,20,37.7385,10.43,13.4,9.48,15.022,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,34.62
11/10/2015 5:00,0.7703,2.02,33.21,15.545,20,37.913,10.43,13.4,9.48,14.4333,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,36.29
11/11/2015 5:00,0.7628,2.07,32.86,15.5,20,38.2625,10.43,13.4,9.48,14.6053,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,36.12
11/12/2015 5:00,0.76,2,32.4,15.35,20,37.8265,10.43,13.4,9.48,14.196,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,36.32
11/13/2015 5:00,0.745,1.99,32.11,15,20,37.0035,10.43,13.4,9.48,13.8127,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,36.45
11/16/2015 5:00,0.76,1.99,32.1,14.89,20,37.521,10.43,13.4,9.48,14.2873,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,35.62
11/17/2015 5:00,0.76,1.98,32.64,15.28,20,37.299,10.43,13.4,9.48,14.2667,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,35.07
11/18/2015 5:00,0.7758,2.12,33.16,15.61,20,38.0005,10.43,13.4,9.48,14.738,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,35.88
11/19/2015 5:00,0.778,2.14,34.3,15.87,20,37.997,10.43,13.4,9.48,14.7867,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,36.73
11/20/2015 5:00,0.7847,2.22,34.66,15.43,20,38.85,10.43,13.4,9.48,14.6673,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,36.83
11/23/2015 5:00,0.773,2.22,34.48,15.32,20,38.835,10.43,13.4,9.48,14.5167,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,37.44
11/24/2015 5:00,0.7793,2.34,34.36,15.63,20,38.4815,10.43,13.4,9.48,14.55,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,37.63
11/25/2015 5:00,0.7783,2.38,34.45,15.58,20,38.463,10.43,13.4,9.48,15.3093,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,37.3
11/27/2015 5:00,0.7847,2.33,34.46,15.56,20,38.5985,10.43,13.4,9.48,15.4407,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,37.73
11/30/2015 5:00,0.793,2.36,34.77,15.93,20,38.1425,10.43,13.4,9.48,15.3507,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,37.48
12/1/2015 5:00,0.8188,2.34,35.09,16.55,20,39.1895,10.43,13.4,9.48,15.8127,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,38.35
12/2/2015 5:00,0.8125,2.27,34.83,15.82,20,38.8925,10.43,13.4,9.48,15.466,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,38.08
12/3/2015 5:00,0.8108,2.23,34.04,15.61,20,38.41,10.43,13.4,9.48,15.514,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,38.04
12/4/2015 5:00,0.8438,2.28,34.935,15.5,20,38.9605,10.43,13.4,9.48,15.3587,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,39
12/7/2015 5:00,0.8278,2.355,34.985,14.85,20,38.6495,10.43,13.4,9.48,15.4087,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,38.94
12/8/2015 5:00,0.839,2.39,34.75,14.6,20,38.757,10.43,13.4,9.48,15.1147,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,39.19
12/9/2015 5:00,0.8178,2.35,34.81,14.32,20,38.1275,10.43,13.4,9.48,14.968,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,38.24
12/10/2015 5:00,0.8245,2.45,34.77,14.66,20,38.002,10.43,13.4,9.48,15.138,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,38.57
12/11/2015 5:00,0.8123,2.36,34.27,14.04,20,37.521,10.43,13.4,9.48,14.468,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,37.6
12/14/2015 5:00,0.8143,2.34,34.47,13.66,20,38.127,10.43,13.4,9.48,14.572,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,37.55
12/15/2015 5:00,0.8243,2.36,35.18,14.18,20,38.0045,10.43,13.4,9.48,14.7393,328.28,34.82,24.1722,24.45,5.2166,9.2,9.43,10,10.55,37.86
